dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
har,flame_hdbscan,2024,19,90,0,0.43333333333333335,0.3505259586019681,68,29,22,10,0.1131459820413233,0.04577919093553361,0.31263901923036574,-0.10351411713208072,0.1394692264257482,0.2733883699577533,0.48877893620781054,0.18181818181818182
har,flame_hdbscan,2024,20,90,0,0.4444444444444444,0.3773328808958263,66,28,24,12,0.12060849648985872,0.06967579174593332,0.2477215699559647,-0.14022257440698105,0.10956521739130433,0.036115755925730755,0.5156224439718632,0.18181818181818182
har,flame_hdbscan,2024,21,90,0,0.43333333333333335,0.3864947404139803,69,28,21,11,0.13240818920183417,0.10887322889876075,0.28630793899966506,-0.09832929932610257,0.03506493506493507,0.12596733145955472,0.4882581172146212,0.16380952380952385
har,flame_hdbscan,2024,22,90,0,0.4111111111111111,0.3512046148625721,66,26,24,11,0.1583786395193497,0.06198841716991899,0.3181062226520879,-0.14056933250802572,-0.04608695652173912,0.05436272219086546,0.5496092422697927,0.11050724637681159
har,flame_hdbscan,2024,23,90,0,0.4444444444444444,0.4139803189684425,67,28,23,12,0.16572114926883355,0.09657504077094106,0.2834711271253443,-0.11707048017741924,0.05138339920948617,0.0787295821622217,0.4934131736526946,0.2017391304347826
har,flame_hdbscan,2024,24,90,0,0.43333333333333335,0.35391923990498814,67,28,23,11,0.15770948590582726,0.068127025854041,0.24921784797729593,-0.09350712414817088,0.23616600790513834,0.18370235837851728,0.5059673894772231,0.16007905138339923
har,flame_hdbscan,2024,25,90,0,0.4444444444444444,0.3512046148625721,67,28,23,12,0.1679120062742669,0.09208317840950195,0.2848144931757356,-0.11485195445442418,0.11857707509881424,0.026243194054073896,0.510659395141299,0.14078674948240166
har,flame_hdbscan,2024,26,90,0,0.4222222222222222,0.3512046148625721,67,26,23,12,0.1679764432450149,0.11636575759884417,0.3275315766303752,-0.1231407065583848,-0.04644268774703557,0.0,0.517588769611891,0.2017391304347826
har,flame_hdbscan,2024,27,90,0,0.43333333333333335,0.3844587716321683,65,27,25,12,0.10633509459929959,0.06504533963664542,0.32922649182670854,-0.1371524086207519,0.07923076923076922,0.07772022854475731,0.5206975228161669,0.14666666666666667
har,flame_hdbscan,2024,28,90,0,0.4444444444444444,0.37767220902612825,67,29,23,11,0.161597183140959,0.03930379566259229,0.2966987303465532,-0.10960511645478961,0.0029644268774703555,0.0,0.5511363636363636,0.08695652173913043
har,flame_hdbscan,2024,29,90,0,0.43333333333333335,0.3708856464200882,68,30,22,9,0.06084079721187884,-0.02231735558107264,0.3051484349076692,-0.10705450083656093,0.08300395256916997,0.06557474954819614,0.560427995088581,0.0757575757575758
har,flame_hdbscan,42,0,90,0,0.35555555555555557,0.1828978622327791,76,22,14,10,0.1111212081127386,0.3123413560926163,-0.41922990408123273,-0.05806261639856116,0.0792079687225004,-0.2159652035930687,0.45338019433533183,0.61
har,flame_hdbscan,42,1,90,0,0.35555555555555557,0.18221920597217509,72,17,18,15,-0.014681597486004264,0.4924074283610985,-0.5239951689593608,-0.034303236950620694,0.13009810716694567,-0.0574959574576069,0.316884551647947,0.7065217391304348
har,flame_hdbscan,42,2,90,0,0.3888888888888889,0.18221920597217509,73,22,17,13,0.4509443187834394,0.3571308738666517,-0.2890580995380994,-0.060043024611398405,0.04659718840273066,-0.2690807240490162,0.381779130123501,0.6383399209486166
har,flame_hdbscan,42,3,90,0,0.3888888888888889,0.1995249406175772,73,22,17,13,0.42598225521728583,0.35970016072900174,-0.0690318733196279,-0.05503113051751504,-0.11649297100682665,-0.21243215056501277,0.3758590308370044,0.6956521739130435
har,flame_hdbscan,42,4,90,0,0.3888888888888889,0.2765524261961317,73,22,17,13,0.44260354235283667,0.36226944759135177,0.0437839094650606,-0.001322497554059761,-0.06499081540380856,-0.15578357708100937,0.3628785301122831,0.6067193675889329
har,flame_hdbscan,42,5,90,0,0.4222222222222222,0.2962334577536478,73,24,17,14,0.4441183195044948,0.3740439898550646,-0.035687191133477354,-0.04384168178053532,0.10784313725490197,-0.37796447300922725,0.37359808788380217,0.7349896480331264
har,flame_hdbscan,42,6,90,0,0.3888888888888889,0.3077706141839158,72,20,18,15,0.49902113573817547,0.43703551378020455,0.005715654539120344,-0.03636977597827086,-0.10015489202534705,-0.34497574474564136,0.3568747867621972,0.6837944664031621
har,flame_hdbscan,42,7,90,0,0.45555555555555555,0.3098065829657279,73,27,17,14,0.4917442150516334,0.3395250041883004,0.07856671508613575,-0.055787516223048325,-0.07234826620423972,-0.3624381035534084,0.36290025763709977,0.6356107660455487
